[*] Processing domain %%.xsolla.com
[*] Using system resolvers: 103.86.96.100,103.86.99.100
[*] Scanning %%.xsolla.com for A records
mail.xsolla.com - 185.30.21.18
ns1.xsolla.com - 94.103.26.179
ns2.xsolla.com - 178.161.146.106
m.xsolla.com - 185.30.21.21
blog.xsolla.com - 185.30.21.72
new.xsolla.com - 185.30.21.72
support.xsolla.com - 13.115.25.84
support.xsolla.com - 54.250.33.70
support.xsolla.com - 13.112.212.160
secure.xsolla.com - 185.30.21.21
static.xsolla.com - 185.30.21.27
chat.xsolla.com - 34.94.183.73
crm.xsolla.com - 34.120.56.248
store.xsolla.com - 185.30.21.72
apps.xsolla.com - 74.125.68.121
office.xsolla.com - 35.206.174.234
info.xsolla.com - 185.30.21.72
login.xsolla.com - 185.30.21.72
cdn.xsolla.com - 89.187.162.137
cdn.xsolla.com - 89.187.162.133
cdn.xsolla.com - 89.187.162.143
help.xsolla.com - 185.30.21.72
vpn2.xsolla.com - 185.30.21.125
connect.xsolla.com - 199.36.158.100
es.xsolla.com - 185.30.21.72
tools.xsolla.com - 185.30.21.22
alpha.xsolla.com - 185.30.21.24
ca.xsolla.com - 185.30.21.50
sitebuilder.xsolla.com - 104.198.200.255
partners.xsolla.com - 185.30.21.72
status.xsolla.com - 13.236.8.150
events.xsolla.com - 185.30.21.72
go.xsolla.com - 185.30.21.72
calendar.xsolla.com - 74.125.68.121
vpn1.xsolla.com - 185.30.23.35
link.xsolla.com - 23.15.110.40
dc.xsolla.com - 216.239.36.21
dc.xsolla.com - 216.239.32.21
dc.xsolla.com - 216.239.38.21
dc.xsolla.com - 216.239.34.21
faq.xsolla.com - 185.30.21.72
careers.xsolla.com - 13.112.212.160
careers.xsolla.com - 13.115.25.84
careers.xsolla.com - 54.250.33.70
affiliate.xsolla.com - 185.30.21.72
analytics.xsolla.com - 185.30.21.72
affiliates.xsolla.com - 185.30.21.72
account.xsolla.com - 185.30.21.73
school.xsolla.com - 185.165.123.206
ps.xsolla.com - 185.30.21.24
audio.xsolla.com - 185.30.20.28
confluence.xsolla.com - 185.30.20.25
www.es.xsolla.com - 198.49.23.144
www.es.xsolla.com - 198.185.159.145
www.es.xsolla.com - 198.49.23.145
www.es.xsolla.com - 198.185.159.144
inside.xsolla.com - 52.0.16.118
groups.xsolla.com - 74.125.68.121
inventory.xsolla.com - 185.30.23.21
portfolio.xsolla.com - 185.30.21.72
h.xsolla.com - 185.30.21.72
gmail.xsolla.com - 74.125.68.121
sentry.xsolla.com - 185.30.21.90
l.xsolla.com - 185.30.21.72
ab.xsolla.com - 185.30.21.72
om.xsolla.com - 34.94.220.49
academy.xsolla.com - 185.30.21.75
www.www.xsolla.com - 185.30.21.72
developers.xsolla.com - 185.30.21.27
cdn3.xsolla.com - 104.111.166.247
ovpn.xsolla.com - 185.30.23.26
www.school.xsolla.com - 185.165.123.206
ats.xsolla.com - 185.30.20.112
investor.xsolla.com - 199.36.158.100
drive.xsolla.com - 74.125.68.121
kong.xsolla.com - 185.30.21.72
